Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Fix2,stimuli/Dangerous/24.jpg,right,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.34687778500302,None,85.34687778500302,None,right,1,1.2717953350002063,85.34687778500302,None,1,86.64684975199998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/20.jpg,left,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.41316992000066,None,87.41316992000066,None,left,1,0.8814410949999001,87.41316992000066,None,1,88.31383032200029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/33.jpg,right,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.08051313200122,None,89.08051313200122,None,right,1,0.7388639370001329,89.08051313200122,None,1,89.84713411700068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/2.jpg,left,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61403129700193,None,90.61403129700193,None,left,1,1.3593483149998065,90.61403129700193,None,1,91.99742064500242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/41.jpg,right,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.76412252999944,None,92.76412252999944,None,right,1,0.8661842600013188,92.76412252999944,None,1,93.64615463800146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix1,stimuli/School/56.jpg,left,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.41420403200027,None,94.41420403200027,None,right,0,3.775893054997141,94.41420403200027,None,0,98.2142768900012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/57.jpg,right,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.98118794699985,None,98.98118794699985,None,left,0,1.9028051929999492,98.98118794699985,None,0,100.91456496700266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/58.jpg,right,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.68149204200017,None,101.68149204200017,None,right,1,3.13213456000085,101.68149204200017,None,1,104.83128453999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/58.jpg,left,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.59963019000133,None,105.59963019000133,None,left,1,4.191098805000365,105.59963019000133,None,1,109.81507508700088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/20.jpg,right,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.58201415700023,None,110.58201415700023,None,right,1,1.1605652649996046,110.58201415700023,None,1,111.76536878700063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/29.jpg,left,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.53219922700009,None,112.53219922700009,None,left,1,1.10217481500149,112.53219922700009,None,1,113.66553010999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/46.jpg,right,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.43233323000095,None,114.43233323000095,None,right,1,1.0060032549990865,114.43233323000095,None,1,115.4655977270013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
